Date,MMM,AOS,ABT,ABBV,ACN,ADM,ADBE,ADP,AES,AFL,A,ABNB,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN
2000-01-03,24.77284812927246,2.3491735458374023,9.081111907958984,,,6.514027118682861,16.274669647216797,25.07577514648437,25.869474411010746,6.9980010986328125,43.75773239135742,,17.450368881225586,321.25,7.86853551864624,6.210729122161865,13.640592575073242,,,4.88956880569458,13.128499984741213,,,1.3971046209335327,4.46875
2000-01-04,23.788494110107425,2.315324068069458,8.821647644042969,,,6.446169853210449,14.909398078918455,25.07577514648437,24.84360885620117,6.812301635742188,40.415138244628906,,16.918537139892578,300.0,7.770178318023682,6.210729122161865,13.34049129486084,,,4.88956880569458,12.709505081176758,,,1.408280611038208,4.096875190734863
2000-01-05,24.4775333404541,2.308553695678711,8.80543041229248,,,6.344388961791992,15.20417308807373,24.83466148376465,25.11122703552246,6.773207664489746,37.90818786621094,,17.018247604370117,283.5,7.812333583831787,6.31855583190918,13.094970703125,,,5.128915786743164,13.268159866333008,,,1.4008301496505735,3.487499952316284
2000-01-06,26.446231842041016,2.2747039794921875,9.113539695739746,,,6.378318309783936,15.328289985656738,25.166189193725582,25.311939239501957,6.910038948059082,36.464786529541016,,18.14837646484375,236.125,7.819357395172119,6.534204483032227,12.849438667297363,,,5.128915786743164,13.198328971862791,,,1.3747506141662598,3.278125047683716
2000-01-07,26.97122383117676,2.3694822788238525,9.210837364196776,,,6.480098247528076,16.07298469543457,25.73883056640625,25.802566528320312,7.046871185302734,39.503517150878906,,19.41144180297852,248.375,8.107402801513672,6.426382064819336,13.094970703125,,,5.197302341461182,13.687163352966309,,,1.4120066165924072,3.478125095367432
2000-01-10,26.839984893798828,2.396561861038208,9.145977020263672,,,6.480098247528076,16.69356346130371,26.37175178527832,26.96222305297852,6.626599788665772,41.89652633666992,,18.21484375,285.5,7.966894149780273,6.404815673828125,13.258659362792969,,,5.208696842193604,13.372912406921388,,,1.4306334257125854,3.4593749046325684
2000-01-11,26.380615234375,2.3694822788238525,9.016240119934082,,,6.378318309783936,15.545493125915527,25.859376907348636,27.096044540405277,6.489767551422119,41.32676696777344,,17.383878707885742,278.4375,7.966894149780273,6.383251190185547,13.285932540893556,,,5.197302341461182,13.33799648284912,,,1.4380853176116943,3.337500095367432
2000-01-12,26.446231842041016,2.288243055343628,8.88131332397461,,,6.547954082489014,15.467920303344728,25.61827087402344,27.653564453125,6.382257461547852,40.49111175537109,,17.68303680419922,254.0,7.742077350616455,6.426382064819336,13.094970703125,,,5.25429105758667,13.407833099365234,,,1.4455368518829346,3.1781249046325684
2000-01-13,26.446231842041016,2.3220932483673096,8.799832344055176,,,6.514027118682861,16.290184020996094,25.467559814453125,28.12188720703125,6.528862476348877,41.09885025024414,,17.550077438354492,232.8125,7.728026866912842,6.512642860412598,13.149532318115234,,,5.299880027770996,13.861741065979004,,,1.4604395627975464,3.296875
2000-01-14,26.06890296936035,2.3694822788238525,8.995386123657227,,,6.785442352294922,16.460845947265625,25.19631767272949,29.70527648925781,6.7145609855651855,41.554664611816406,,17.21769142150879,230.0,7.685874462127685,6.383251190185547,13.23137378692627,,,5.231494426727295,13.512585639953612,,,1.4455368518829346,3.212500095367432
2000-01-18,25.49470329284668,2.3356337547302246,8.799832344055176,,,7.090788841247559,15.886808395385742,23.749643325805664,27.80967903137207,6.2551984786987305,43.4538688659668,,16.38671875,211.5,7.671824932098389,6.2538580894470215,13.258659362792969,,,5.197302341461182,13.442752838134766,,,1.3710248470306396,3.206249952316284
2000-01-19,25.937652587890625,2.3762528896331787,8.620575904846191,,,7.260426044464111,15.669608116149902,26.07035255432129,27.96578025817871,5.883797645568848,42.54225158691406,,16.41996192932129,224.75,7.489161968231201,6.275424957275391,13.204092025756836,,,5.242891788482666,13.163418769836426,,,1.393377661705017,3.340625047683716
2000-01-20,24.96971702575684,2.3356337547302246,8.35983943939209,,,7.090788841247559,15.840269088745115,24.50312614440918,27.72047615051269,6.3627095222473145,41.40272521972656,,15.888131141662598,234.0,7.306497573852539,6.189164161682129,13.204092025756836,,,5.448049068450928,13.268159866333008,,,1.3458770513534546,3.237499952316284
2000-01-21,24.920488357543945,2.416872978210449,8.131697654724121,,,7.056863784790039,15.607549667358398,24.382568359375,28.54561996459961,6.059723854064941,41.78256607055664,,15.38954734802246,269.0,7.1519389152526855,6.275424957275391,13.149532318115234,,,6.097710609436035,13.128499984741213,,,1.3114147186279297,3.103125095367432
2000-01-24,24.346296310424805,2.4371821880340576,7.822076320648193,,,6.717591285705566,15.033514976501465,24.111316680908203,28.54561996459961,5.991305351257324,41.63063430786133,,16.054330825805664,262.0625,6.772561550140381,6.167598247528076,13.094970703125,,,6.314265251159668,12.744422912597656,,,1.3114147186279297,3.5062499046325684
2000-01-25,23.985353469848636,2.315324068069458,7.724298000335693,,,6.649733543395996,15.638577461242676,24.623676300048828,27.11833381652832,6.245425224304199,41.1368408203125,,16.519678115844727,279.3125,6.856866836547852,5.908818244934082,13.0676851272583,,,5.698795318603516,12.779338836669922,,,1.307689189910889,3.462500095367432
2000-01-26,25.28142738342285,2.2679333686828613,7.740589618682861,,,6.615809440612793,15.188660621643066,24.593549728393555,25.847171783447266,6.558184623718262,41.51667785644531,,16.752342224121094,277.5,7.250295162200928,6.124471187591553,12.95856475830078,,,5.573420524597168,12.953924179077148,,,1.2555302381515503,3.2406249046325684
